,Date,Time,Location,Sub-location,Lat,Long
945,2021-01-04,1410h - 1500h,Fairprice Hub (1 Joo Koon Circle),Warehouse Club,1.3271618610269,103.678279283036
946,2021-01-03,1920h - 2045h,E!Hub @ Downtown East (1 Pasir Ris Close),Yam'S Kitchen,1.37595122154029,103.955598940037
947,2021-01-03,1345h - 1445h,White Sands (1 Pasir Ris Central Street 3),,1.37228761596577,103.949733905672
948,2021-01-02,1955h - 2055h,Compass One (1 Sengkang Square),,1.39205314156706,103.89507054384
949,2021-01-02,1510h - 1615h,Downtown East (1 Pasir Ris Close),Fairprice,1.37595122154029,103.955598940037
950,2021-01-02,1435h - 1510h,Downtown East (1 Pasir Ris Close),Market Square @ Downtown East,1.37595122154029,103.955598940037
951,2021-01-01,1915h - 2010h,Downtown East (1 Pasir Ris Close),Market Square @ Downtown East,1.37595122154029,103.955598940037
952,2021-01-01,2015h - 2110h,Downtown East (1 Pasir Ris Close),Fairprice,1.37595122154029,103.955598940037
953,2020-12-31,1900h - 2000h,Millenia Walk (9 Raffles Boulevard),Tomi Sushi Restaurant,1.29260544462492,103.859724944443
954,2020-12-29,1200h - 1300h,Takashimaya Shopping Centre (391 Orchard Road),Grand Jete Cafe & Bar,1.3022727300848,103.834899517575
955,2020-12-29,2055h - 2300h,The Dragon Chamber (2 Circular Road),,1.288108233569,103.848950605776
956,2020-12-29,0930h - 1020h,84 Marine Parade Central Market And Food Centre (84 Marine Parade Central),,1.30228520968842,103.906288669909
957,2020-12-28,1815h - 1950h,Ngee Ann City (391A Orchard Road),Takashimaya Department Store,1.30242417189411,103.834676124723
958,2020-12-28,1000h - 1030h,Ghim Moh Market And Food Centre (20 Ghim Moh Road),,1.31099663218896,103.78823030662
959,2020-12-28,2015h - 2120h,Tamaya Dining (45 Cuppage Road),,1.30238819140849,103.840363902869
960,2020-12-28,1540h - 1645h,Parkway Parade (80 Marine Parade Road),Kids Fashion Bazaar,1.301041960873,103.905505005847
961,2020-12-27,1630h - 1945h,Vivocity (1 Harbourfront Walk),Cedele Bakery Cafe,1.26431382492761,103.82207343835
962,2020-12-27,1100h - 1245h,Warong Nasi Partaman (738 North Bridge Road),,1.30288013201304,103.859223827696
963,2020-12-27,1320h - 1355h,Tang Plaza (320 Orchard Road),,1.30502230772638,103.832874073917
964,2020-12-26,2015h - 2120h,Grindelwald Supermarket (108 Clementi Street 11),,1.32212392900686,103.770265903384
965,2020-12-26,1920h - 2015h,Hoho Korean Restaurant (106 Clementi Street 12),,1.32191467282846,103.769815226286
966,2020-12-26,1000h - 1030h,Ghim Moh Market And Food Centre (20 Ghim Moh Road),,1.31099663218896,103.78823030662
967,2020-12-26,1805h - 1840h,Paragon (290 Orchard Road),Mayoral,1.30372322368856,103.83524031199
968,2020-12-26,1850h - 2050h,Sheraton Towers Hotel (39 Scotts Road),Maetomo Restaurant & Bar,1.31195053469522,103.836462149219
969,2020-12-26,1810h - 1915h,Bedok Mall (311 New Upper Changi Road),,1.32475054237912,103.92918919889
970,2020-12-26,2200h - 2300h,New Hawa Restaurant (428 Changi Road),,1.3186911641451,103.911729067553
971,2020-12-26,1350h - 1430h,313@Somerset (313 Orchard Road),Zara,1.30101436404056,103.838360664485
972,2020-12-25,1940h - 2100h,Paragon (290 Orchard Road),Privé Paragon,1.30372322368856,103.83524031199
973,2020-12-25,1410h - 1500h,Velocity@Novena Square (238 Thomson Road),Cedele Bakery Cafe,1.32021100706836,103.843656761867
974,2020-12-25,1815h - 1850h,Takashimaya Shopping Centre (391 Orchard Road),Books Kinokuniya,1.3022727300848,103.834899517575
975,2020-12-25,1110h - 1155h,Mega@Woodlands (39 Woodlands Close),,1.43809143188118,103.807119160141
976,2020-12-25,1930h - 2030h,Orchard Gateway (277 Orchard Road),Supply And Demand,1.30040317266733,103.83972034182
977,2020-12-25,1640h - 1735h,Ikea Alexandra (317 Alexandra Road),,1.28797431886603,103.805808771913
978,2020-12-25,0935h - 1015h,Kampong Glam Cafe (17 Bussorah Street),,1.30129190610657,103.860024076408
979,2020-12-24,2115h - 0000h,Imm (2 Jurong East Street 21),Haidilao Hot Pot,1.3346666186285,103.74695659203
980,2020-12-24,1850h - 2025h,Pitcotin@East Coast (382 Joo Chiat Road),,1.30782688672627,103.903237013677
981,2020-12-24,1800h - 2200h,Choice@215 (215 Jurong East Street 21),,1.33993327217519,103.738514477739
982,2020-12-24,1915h - 2300h,Hogs Bar & Restaurant (382 Joo Chiat Road),,1.30782688672627,103.903237013677
983,2020-12-24,1250h - 1330h,Cuppafield (445 Bukit Batok West Avenue 8),,1.35082263178052,103.738268338696
984,2020-12-23,1815h - 1950h,Amara Singapore (165 Tanjong Pagar Road),Bar-Roque Grill,1.27492765838262,103.843549530562
985,2020-12-23,1600h - 1700h,Marina Bay Sands (10 Bayfront Avenue),Renku Bar & Lounge,1.28257452719679,103.858562162091
986,2020-12-22,1045h - 1130h,Tanjong Pagar Centre (7 Wallich Street),Vision Lab Eyewear,1.27672492702287,103.845155395387
987,2020-12-19,0855h - 0940h,Raffles City Shopping Centre (252 North Bridge Road),,1.29376028134073,103.852768324281
988,2020-12-19,0945h - 1025h,Citylink (1 Raffles Link),Coffee & Toast,1.2927777312893,103.854173501417
989,2020-12-19,1055h - 1140h,Ntuc Fairprice (Clementi Avenue 3),,1.31331969319644,103.764517192874
990,2020-12-17,1805h - 1920h,Westgate (3 Gateway Drive),,1.33402529563803,103.74258601168
991,2020-12-12,0755h - 1005h,Prime Supermarket (962 Jurong West Street 91),,1.34180915377904,103.691512648994
992,2020-12-12,1240h - 1500h,Anchorpoint Shopping Centre (370 Alexandra Road),"Starbucks, Tcc – The Connoisseur Concerto",1.28861469030586,103.805009964592
993,2020-12-11,1835h - 2025h,Takashimaya (391A Orchard Road),Takashimaya Department Store,1.30242417189411,103.834676124723
994,2020-12-10,1810h - 2000h,Jcube (2 Jurong East Central 1),Don Don Donki Jcube,1.33332312550425,103.740187071348
995,2020-12-09,1250h - 1815h,Anchorpoint Shopping Centre (370 Alexandra Road),"Starbucks, Tcc – The Connoisseur Concerto",1.28861469030586,103.805009964592
996,2020-11-30,1755h - 2155h,Marina At Keppel Bay (2 Keppel Bay Vista),Sushi Jiro At Keppel Bay,1.26398129593402,103.812517727327
997,2020-11-28,1800h - 2100h,The Central @ Clarke Quay (6 Eu Tong Sen Street) ,Sque Rotisserie & Alehouse,1.2888737988701,103.846797382693
998,2020-11-28,1300h - 1330h,Makansutra   Gluttons Bay (8 Raffles Avenue),,1.28966932376699,103.855952707685
999,2020-11-27,1420h - 1900h,Marina Bay Sands Casino (10 Bayfront Avenue),,1.28257452719679,103.858562162091
1000,2020-11-27,1930h - 2000h,The Central @ Clarke Quay (6 Eu Tong Sen Street) ,Sque Rotisserie & Alehouse,1.2888737988701,103.846797382693
1001,2020-11-26,2055h - 2155h,Changi Airport Terminal 3 (65 Airport Boulevard) ,Kopitiam,1.35437074082484,103.985169645053
1002,2020-11-25,2105h - 2210h,Changi Airport Terminal 3 (65 Airport Boulevard) ,Kopitiam,1.35437074082484,103.985169645053
1003,2020-11-25,1530h - 1800h,28Wilkie (28   Wilkie   Road),,1.30215650857017,103.848854208182
1004,2020-11-25,1400h - 1500h,D.O.C   – Tanjong   Pagar   (21 Tanjong   Pagar   Road),,1.27948100992944,103.844116761408
1005,2020-11-24,2105h - 2200h,Changi Airport Terminal 3 (65 Airport Boulevard) ,Kopitiam,1.35437074082484,103.985169645053
1006,2020-11-24,1730h - 1800h,The Centrepoint (176 Orchard Road) ,Dapur   Penyet,1.30151446722773,103.840054426935
1007,2020-11-23,1210h - 1245h,Mr Prata (476 Tampines Street 44),,1.36092283930264,103.953359364582
1008,2020-11-22,2115h - 2215h,Changi Airport Terminal 3 (65 Airport Boulevard) ,Kopitiam,1.35437074082484,103.985169645053
1009,2020-11-22,0855h - 1030h,Junction Nine Shopping Mall (18 Yishun Avenue 9),Wak Min Foodcourt,1.4331228398318,103.84166098599
1010,2020-11-21,1745h - 2055h,Tampines Mall (4 Tampines Central 5),Seoul Garden,1.35250468330971,103.944682574769
1011,2020-11-21,0945h - 1130h,Tekka Centre (Bukit Timah Road),,1.33598462897818,103.782662149166
1012,2020-11-21,2050h - 2155h,Ntuc Fairprice (301 Yishun Avenue 2),,1.42951728655037,103.835058273602
1013,2020-11-21,1800h - 1900h,The Central @ Clarke Quay (6 Eu Tong Sen Street) ,Sque Rotisserie & Alehouse,1.2888737988701,103.846797382693
1014,2020-11-21,1240h - 1730h,Marina Bay Sands Casino (10 Bayfront Avenue),,1.28257452719679,103.858562162091
1015,2020-11-20,1800h - 1900h,The Central @ Clarke Quay (6 Eu Tong Sen Street) ,Sque Rotisserie & Alehouse,1.2888737988701,103.846797382693
1016,2020-11-20,2120h - 2235h,Changi Airport Terminal 3 (65 Changi Boulevard) Public Area,Heavenly Wang,1.35437074082484,103.985169645053
1017,2020-11-20,1240h - 1330h,Masjid Ahmad (2 Lorong Sarhad),,1.28087205102099,103.787212133994
1018,2020-11-19,2000h - 2045h,Masjid Temenggong Daeng Ibrahim (30 Telok Blangah Road),,1.26631495497006,103.824254422419
1019,2020-11-19,2115h - 2215h,Changi Airport Terminal 3 (65 Changi Boulevard) Public Area,Heavenly Wang,1.35437074082484,103.985169645053
1020,2020-11-18,1800h - 1900h,Ion Orchard (2 Orchard Turn),,1.30419142102398,103.831510144742
1021,2020-11-17,1130h - 1200h,Tekka   Centre (Bukit   Timah   Road) ,Allauddin’S   Briyani,1.37248973746923,103.763186686387
1022,2020-11-16,1825h - 1900h,Mustafa Centre (145 Syed Alwi Road),,1.31053493112425,103.855002052529
1023,2020-11-16,2130h - 0030h,Hin   Sheng Coffee House (5 Lorong 18   Geylang   ),,1.31233689675804,103.88079113692
1024,2020-11-16,1945h - 2030h,Mustafa Centre (145 Syed Alwi Road),,1.31053493112425,103.855002052529
1025,2020-11-16,1550h - 1655h,New World Centre (1 Jalan Berseh),Hoe Kee Superstore Pte Ltd,1.30778509510261,103.857010982845
1026,2020-11-16,1700h - 1900h,Tekka   Centre (Bukit   Timah   Road),,1.37248973746923,103.763186686387
1027,2020-11-15,1720h - 1825h,Courts Megastore (50 Tampines North Drive 2),,1.37362336122117,103.933805893357
1028,2020-11-15,1710h - 1750h,Northpoint City (930 Yishun Avenue 2),Jinjja Chicken,1.42924414326245,103.836107231373
1029,2020-11-14,0945h - 1045h,Tekka Centre (Bukit Timah Road),,1.33598462897818,103.782662149166
1030,2020-11-14,1915h - 1950h,Wisteria Mall (598 Yishun Ring Road),,1.41798969122298,103.841317292608
1031,2020-11-14,1435h - 1537h,Northpoint City (930 Yishun Avenue 2),,1.42924414326245,103.836107231373
1032,2020-11-08,1145h - 1520h,Bugis Street (3 New Bugis Street),,1.30048327348075,103.854903071386
1033,2020-11-08,2030h - 2115h,Kopitiam @ Jurong East (10 Jurong East Street 12),,1.33329506563598,103.742153884191
1034,2020-11-06,1745h - 1830h,Kopitiam @ Jurong East (10 Jurong East Street 12),,1.33329506563598,103.742153884191
1035,2020-11-05,1300h - 1805h,Jurong Point (1 Jurong West Central 2),,1.3394520043632,103.706685012926
1036,2020-11-04,1630h - 1700h,Kitchener Complex (809 French Road),Burger King,1.30832700516352,103.862005870884
1037,2020-11-04,2000h - 2030h,V Hotel Lavender (70 Jellicoe Road),Kopitiam,1.3078301007512,103.862736376488
1038,2020-11-03,1210h - 1255h,Mustafa Centre (145 Syed Alwi Road),,1.31053493112425,103.855002052529
1039,2020-11-03,1530h - 1855h,Bugis Street (3 New Bugis Street),,1.30048327348075,103.854903071386
1040,2020-11-01,2015h - 2300h,Bugis Street (3 New Bugis Street),,1.30048327348075,103.854903071386
1041,2020-10-30,1500h - 1630h,Ocbc Centre (65 Chulia Street),Ocbc Bank,1.28503445044088,103.849102832547
1042,2020-10-28,1810h - 1915h,Westgate (3 Gateway Drive),Qcd Technology,1.33402529563803,103.74258601168
1043,2020-10-28,1710h - 1800h,Jem (50 Jurong Gateway Road),H&M,1.33332819303974,103.743359442234
1044,2020-10-26,1435h - 1520h,City Square Mall (180 Kitchener Road),Mcdonald’S,1.3113051711141,103.856421771626
1045,2020-10-26,1655h - 1900h,Peninsula Shopping Centre (3 Coleman Street) ,Jetspeed Travel Pte Ltd,1.29180789601988,103.850272637854
1046,2020-10-24,1200h - 1335h,Mustafa Centre (145 Syed Alwi Road),,1.31053493112425,103.855002052529
1047,2020-10-23,2000h - 2100h,Bugis Junction (200 Victoria Street),Toast Box,1.29911287475873,103.855411173758
1048,2020-10-22,0705h - 0740h,Changi Airport Terminal 3 (65 Changi Boulevard) Public Area,Heavenly Wang,1.35437074082484,103.985169645053
1049,2020-10-22,1820h - 2020h,Raffles City Shopping Centre (252 North Bridge Road),The Coffee Academics,1.29376028134073,103.852768324281
1050,2020-10-22,0705h - 0755h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,1.35437074082484,103.985169645053
1051,2020-10-21,0640h - 0720h,Hillion Mall (17 Petir Road),Mcdonald’S,1.37843100827586,103.762842789877
1052,2020-10-21,2040h - 2200h,Arcade @ The Capitol Kempinski (13 Stamford Road),La Scala Ristorante,1.29307884763132,103.851261982149
1053,2020-10-21,0915h - 1015h,International Plaza (10 Anson Road),"Bls International – Indian Passport, Visa Application Centre, Singapore",1.27573568143134,103.845703218601
1054,2020-10-20,1600h - 1725h,Nanyang Community Club (60 Jurong West Street 91),Anytime Fitness Jurong West,1.34242828944107,103.692435163135
1055,2020-10-19,1530h - 1705h,Nanyang Community Club (60 Jurong West Street 91),Anytime Fitness Jurong West,1.34242828944107,103.692435163135
1056,2020-10-18,2125h - 2220h,Nanyang Community Club (60 Jurong West Street 91),Anytime Fitness Jurong West,1.34242828944107,103.692435163135
1057,2020-10-17,2050h - 2145h,Ice Cream Chefs (12 Jalan Kuras),,1.37291832892582,103.829646428579
1058,2020-10-17,1005h - 1055h,Paya Lebar Quarter Mall (10 Paya Lebar Road),Eat.,1.31885611019401,103.89406715568
1059,2020-10-17,1745h - 1835h,Ramen Keisuke Tonkotsu King Four Seasons (158 Rochor Road),,1.30090252607461,103.855262679246
1060,2020-10-17,2045h - 2140h,Ion Orchard (2 Orchard Turn),,1.30419142102398,103.831510144742
1061,2020-10-17,1130h - 1235h,Kallang Wave Mall (1 Stadium Place),,1.30307515150401,103.873149707591
1062,2020-10-17,1750h - 1835h,Our Tampines Hub (1 Tampines Walk),Rumah Makan Minang,1.35270292681435,103.940200303358
1063,2020-10-17,1900h - 2000h,Changi Airport Terminal 3 (65 Airport Boulevard),Fairprice Finest,1.35437074082484,103.985169645053
1064,2020-10-17,0755h - 0900h,Ica Building (10 Kallang Road),,1.30663469653195,103.862772815008
1065,2020-10-17,0635h - 0740h,Hillion Mall (17 Petir Road),Mcdonald’S,1.37843100827586,103.762842789877
1066,2020-10-16,1735h - 1920h,Mandarin Gallery (333A Orchard Road),Wild Honey,1.30206450556085,103.836340953748
1067,2020-10-16,1935h - 2035h,Jem (50 Jurong Gateway Road),H&M,1.33332819303974,103.743359442234
1068,2020-10-16,1255h - 1400h,Lot One Shoppers’ Mall (21 Choa Chu Kang Avenue 4),Delifrance,1.38506836476439,103.744950378814
1069,2020-10-16,1930h - 2000h,Orchard Central (181 Orchard Road),Don Don Donki,1.30083890839245,103.839434733899
1070,2020-10-16,2010h - 2140h,313@Somerset (313 Orchard Road),Go Noodle House,1.30101436404056,103.838360664485
1071,2020-10-16,1510h - 1625h,Nanyang Community Club (60 Jurong West Street 91),Anytime Fitness Jurong West,1.34242828944107,103.692435163135
1072,2020-10-16,1520h - 1630h,Lot One Shoppers’ Mall (21 Choa Chu Kang Avenue 4),Blackball,1.38506836476439,103.744950378814
1073,2020-10-16,2030h - 2145h,Jem (50 Jurong Gateway Road),Uniqlo,1.33332819303974,103.743359442234
1074,2020-10-15,1015h - 1105h,Our Tampines Hub (1 Tampines Walk),Kopitiam,1.35270292681435,103.940200303358
1075,2020-10-15,2225h - 0025h,Nanyang Community Club (60 Jurong West Street 91),Anytime Fitness Jurong West,1.34242828944107,103.692435163135
1076,2020-10-14,1930h - 2045h,Kimly Zi Char (742A Tampines Street 72),,1.35996888173835,103.934143327405
1077,2020-10-14,1235h - 1420h,Nanyang Community Club (60 Jurong West Street 91),Anytime Fitness Jurong West,1.34242828944107,103.692435163135
1078,2020-10-13,1205h - 1335h,Mcdonald’S @ Tampines Interchange (513 Tampines Central 1),,1.35391812778833,103.944395754525
1079,2020-10-13,1440h - 1545h,Fu Lu Shou Complex (149 Rochor Road),,1.30151258571919,103.854497235401
1080,2020-10-12,1500h - 1540h,Tampines Mall (4 Tampines Central 5),,1.35250468330971,103.944682574769
1081,2020-10-11,1935h - 2005h,Fairprice Aljunied (114 Aljunied Avenue 2),,1.32172296225797,103.886811795181
1082,2020-10-10,1835h - 2000h,Jurong Point (1 Jurong West Central 2),,1.3394520043632,103.706685012926
1083,2020-10-10,1300h - 1400h,Mohammadi Restaurant (7 Lembu Road),,1.30972382255665,103.854370880921
1084,2020-10-07,1155h - 1235h,Nex (23 Serangoon Central),Aburi-En,1.35064579494756,103.872590477492
1085,2020-10-05,1355h - 1800h,National Museum Of Singapore (93 Stamford Road),,1.29678050415467,103.848412787752
1086,2020-10-05,1245h - 1325h,Parkway Parade (80 Marine Parade Road),Ya Kun Family Cafe,1.301041960873,103.905505005847
1087,2020-10-05,0735h - 1125h,Moments’ (326 Serangoon Avenue 3),,1.35035198508251,103.868996990604
1088,2020-10-04,1455h - 1600h,Far East Plaza (14 Scotts Road),Joeun Salon,1.30717698071189,103.833792932243
1089,2020-10-01,1755h - 1825h,Square 2 @ Novena (10 Sinaran Drive),Don Don Donki,1.32044103104797,103.844192628979
1090,2020-10-01,0830h - 0900h,64+4 Foodcourt (4A Loyang Lane),,1.37155265431862,103.970231053612
1091,2020-09-30,1635h - 1710h,Rivervale Plaza (118 Rivervale Drive),Barber Point,1.3855530969334,103.901960668798
1092,2020-09-29,1300h - 1445h,Sun Plaza (30 Sembawang Drive),Starbucks,1.44820036592783,103.819530140823
1093,2020-09-29,1805h - 1840h,Ngee Ann City (391A Orchard Road),Takashimaya Department Store,1.30242417189411,103.834676124723
1094,2020-09-28,1830h - 2130h,Merchant Court (3A River Valley Road),Kushikatsu Tanaka,1.28996279121582,103.845025975148
1095,2020-09-28,1215h - 1315h,Sun Plaza (30 Sembawang Drive),Starbucks,1.44820036592783,103.819530140823
1096,2020-09-27,1515h - 1650h,Giant Hypermarket – Tampines (21 Tampines North Drive 2),,1.37210169874539,103.931999887543
1097,2020-09-27,1700h - 1830h,Ikea Tampines (60 Tampines North Drive 2),,1.37412166439983,103.932414737025
1098,2020-09-27,1805h - 1835h,Sheng Siong (88 Tanglin Halt Road),,1.301864727407,103.798174301286
1099,2020-09-27,1710h - 1750h,Imm (2 Jurong East Street 21),,1.3346666186285,103.74695659203
1100,2020-09-26,1310h - 1440h,Bugis+ (201 Victoria Street),,1.2995619856076,103.854240170015
1101,2020-09-26,1900h - 2000h,Newecon – Top Choice Supermarket (84 Bayshore Road),,1.31218816492753,103.940116990514
1102,2020-09-26,1530h - 1700h,Bearyfun Gym @ Katong Swimming Complex (111 Wilkinson Road),,1.3020446255491,103.886179163437
1103,2020-09-26,1330h - 1440h,Bugis Junction (200 Victoria Street),,1.29911287475873,103.855411173758
1104,2020-09-26,1500h - 1605h,Napshot Cafe (169 Stirling Road),,1.29043486528791,103.803105948762
1105,2020-09-26,1230h - 1320h,Albert Centre Market & Food Centre (270 Queen Street),,1.30110201573423,103.854115779087
1106,2020-09-26,0945h - 1945h,Orchard Central (181 Orchard Road) ,Walking On Sunshine,1.30083890839245,103.839434733899
1107,2020-09-26,2010h - 2140h,Orchard Central (181 Orchard Road),Grain Alley,1.30083890839245,103.839434733899
1108,2020-09-26,2030h - 2130h,Stirling Food Court (169 Stirling Road),,1.29043486528791,103.803105948762
1109,2020-09-25,2000h - 2135h,313@Somerset (313 Orchard Road),Tan Yu,1.30101436404056,103.838360664485
1110,2020-09-25,0945h - 1945h,Orchard Central (181 Orchard Road) ,Walking On Sunshine,1.30083890839245,103.839434733899
1111,2020-09-25,1615h - 1645h,Tiong Hoe Specialty Coffee (170 Stirling Road),,1.29091128182876,103.803120797076
1112,2020-09-25,1325h - 1500h,Tiong Bahru Plaza (298 Tiong Bahru Road,Uniqlo,1.28629937187776,103.828093503404
1113,2020-09-25,1810h - 1955h,Queensway Shopping Centre (1 Queensway),Anytime Fitness,1.28761792586115,103.803391140455
1114,2020-09-25,1200h - 1230h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,1.36129123176598,103.99060554697
1115,2020-09-24,1850h - 1930h,Clementi 448 Market & Food Centre (448 Clementi Avenue 3),,1.31331969319644,103.764517192874
1116,2020-09-24,1415h - 1500h,Stai Jalan Boon Lay (249 Jalan Boon Lay),,1.33948085331458,103.712432335863
1117,2020-09-24,1510h - 2045h,Universal Studios Singapore (8 Sentosa Gateway),,1.25498909397858,103.82028484165
1118,2020-09-24,0700h - 1700h,Junction Nine (18 Yishun Avenue 9),Ah Ye Kopi & Toast,1.4331228398318,103.84166098599
1119,2020-09-24,1625h - 1700h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,1.36129123176598,103.99060554697
1120,2020-09-24,1820h - 1910h,Westgate (3 Gateway Drive),Mr. D.I.Y.,1.33402529563803,103.74258601168
1121,2020-09-24,0925h - 0955h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,1.36129123176598,103.99060554697
1122,2020-09-24,2040h - 2130h,Resorts World Sentosa (8 Sentosa Gateway),Hard Rock Cafe,1.25498909397858,103.82028484165
1123,2020-09-24,1555h - 1625h,The Shoppes At Marina Bay Sands (2 Bayfront Avenue),Rasapura Masters,1.28332249857386,103.857629111139
1124,2020-09-23,1540h - 1625h,Amk Hub (53 Ang Mo Kio Avenue 3),Timezone,1.36923627630004,103.848722224473
1125,2020-09-23,0700h - 1500h,Junction Nine (18 Yishun Avenue 9),Ah Ye Kopi & Toast,1.4331228398318,103.84166098599
1126,2020-09-23,1900h - 2000h,Alexandra Village Food Centre (120 Bukit Merah Lane 1),,1.28630594274136,103.804492637648
1127,2020-09-23,1925h - 2035h,Mustafa Centre (145 Syed Alwi Road),,1.31053493112425,103.855002052529
1128,2020-09-23,1640h - 1720h,"Amk Hub (53 Ang Mo Kio Avenue 3)
Prata Raya",,1.36923627630004,103.848722224473
1129,2020-09-23,1640h - 1720h,Amk Hub (53 Ang Mo Kio Avenue 3),Prata Raya,1.36923627630004,103.848722224473
1130,2020-09-22,1615h - 1730h,Anchorpoint (370 Alexandra Road),,1.28861469030586,103.805009964592
1131,2020-09-22,1745h - 1830h,Alexandra Village Food Centre (120 Bukit Merah Lane 1),,1.28630594274136,103.804492637648
1132,2020-09-22,0940h - 1215h,La Rouge Beauty Parlour (30 Bayshore Road),,1.31299245934221,103.93991442778
1133,2020-09-22,0700h - 1700h,Junction Nine (18 Yishun Avenue 9),Ah Ye Kopi & Toast,1.4331228398318,103.84166098599
1134,2020-09-22,1930h - 2030h,Alexandra Village Food Centre (120 Bukit Merah Lane 1),,1.28630594274136,103.804492637648
1135,2020-09-21,1220h - 1255h,Ngee Ann City (391A Orchard Road),,1.30242417189411,103.834676124723
1136,2020-09-21,1000h - 1755h,Lucky Plaza (304 Orchard Road),,1.30450604646634,103.833962339817
1137,2020-09-20,1225h - 1615h,Northpoint City (930 Yishun Avenue 2),"Malaysia Chiak!, Kopitiam",1.42924414326245,103.836107231373
1138,2020-09-19,1800h - 1835h,Paragon (290 Orchard Road),Muji,1.30372322368856,103.83524031199
1139,2020-09-19,1825h - 1920h,Lucky Plaza (304 Orchard Road),,1.30450604646634,103.833962339817
1140,2020-09-19,1615h - 1645h,The Shoppes At Marina Bay Sands (2 Bayfront Avenue),Rasapura Masters,1.28332249857386,103.857629111139
1141,2020-09-18,1355h - 1605h,Ion Orchard (2 Orchard Turn),,1.30419142102398,103.831510144742
1142,2020-09-18,1605h - 1655h,Lucky Plaza (304 Orchard Road),,1.30450604646634,103.833962339817
1143,2020-09-18,1245h - 1320h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,1.36129123176598,103.99060554697
1144,2020-09-17,0940h - 1015h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,1.36129123176598,103.99060554697
1145,2020-09-16,0800h - 0830h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,1.36129123176598,103.99060554697
1146,2020-09-15,1930h - 2000h,Alexandra Village Food Centre (120 Bukit Merah Lane 1),,1.28630594274136,103.804492637648
1147,2020-09-15,2010h - 2050h,Mustafa Centre (145 Syed Alwi Road),,1.31053493112425,103.855002052529
1148,2020-09-13,1245h - 1405h,People’S Park Centre (101 Upper Cross Street),,1.28560659056634,103.843922993246
1149,2020-09-13,1210h - 1250h,People’S Park Complex (1 Park Road),,1.3708718379447,103.978312286363
1150,2020-09-13,1305h - 1440h,Trivex (8 Burn Road),Zero1 Pte Ltd,1.33578618642652,103.885510272428
1151,2020-09-11,1900h - 1950h,Plaza Singapura (68 Orchard Road),Nanjing Impressions,1.30082071769235,103.845067272666
1152,2020-09-10,1435h - 2035h,Universal Studios Singapore (8 Sentosa Gateway),,1.25498909397858,103.82028484165
1153,2020-09-09,1245h - 1345h,Changi Airport Terminal 1 (80 Airport Boulevard) ,Burger King,1.36129123176598,103.99060554697
1154,2020-09-09,1355h - 1435h,Changi Airport Terminal 3 (65 Airport Boulevard),4Fingers Crispy Chicken,1.35437074082484,103.985169645053
1155,2020-09-09,1225h - 1300h,Tekka Centre (Bukit Timah Road),,1.33598462897818,103.782662149166
1156,2020-09-08,1720h - 1800h,Vivocity (1 Harbourfront Walk),Daiso,1.26431382492761,103.82207343835
1157,2020-09-08,1500h - 1615h,West Mall (1 Bukit Batok Central Link),,1.35009714832628,103.74921385957
1158,2020-09-08,1220h - 1310h,Vivocity (1 Harbourfront Walk),The Coffee Bean And Tea Leaf,1.26431382492761,103.82207343835
1159,2020-09-08,1520h - 1625h,Harbourfront Centre (1 Maritime Square),Nailz Gallery,1.26396991176004,103.820243325181
1160,2020-09-08,1810h - 1840h,Vivocity (1 Harbourfront Walk),Fairprice Xtra,1.26431382492761,103.82207343835
1161,2020-09-08,2025h - 2130h,Queensway Shopping Centre (1 Queensway),Anytime Fitness,1.28761792586115,103.803391140455
1162,2020-09-08,1355h - 1500h,Vivocity (1 Harbourfront Walk),Jean Yip Hair & Hair Spa,1.26431382492761,103.82207343835
1163,2020-09-07,1020h - 1100h,Nex (23 Serangoon Central),Ya Kun Family Café,1.35064579494756,103.872590477492
1164,2020-09-07,1430h - 1520h,Plaza Singapura (68 Orchard Road),Nando’S,1.30082071769235,103.845067272666
1165,2020-09-07,1105h - 1150h,Haniffa Pte Ltd (118 Dunlop Street),,1.30596333755647,103.852601972567
1166,2020-09-07,1545h - 1700h,The Spread (15 Kent Ridge Drive),,1.29252222913047,103.774133418277
1167,2020-09-06,2020h - 2130h,Queensway Shopping Centre (1 Queensway),Anytime Fitness,1.28761792586115,103.803391140455
1168,2020-09-06,2000h - 2055h,Waterway Point (83 Punggol Central),Han’S,1.40638890775119,103.902150850842
1169,2020-09-06,1210h - 1320h,Hougang Mall (90 Hougang Avenue 10),Saizeriya,1.37253315637342,103.893883460466
1170,2020-09-06,1900h - 2055h,Waterway Point (83 Punggol Central),,1.40638890775119,103.902150850842
1171,2020-09-05,1245h - 1355h,Waterway Point (83 Punggol Central),Han’S,1.40638890775119,103.902150850842
1172,2020-09-05,1810h - 2035h,Lau Pa Sat (18 Raffles Quay),,1.28059421956056,103.850408357959
